Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Brunei Darussalam,6211.90,5548.20,5504.20,5273.10,5001.80,5097.10,5170.50,5361.20,5570.20,4231.70,6105.60,5753.50,4855.10,4877.10,4847.80,4620.40,4272.10,9053.80,10029.20,8573.40,8602.80,9743.20
Cambodia,451.00,462.00,476.70,476.70,539.00,1551.10,1617.10,1540.10,1950.80,1895.80,1976.50,2251.50,2207.50,2379.90,2445.90,2775.90,2999.60,3483.70,3975.00,4132.70,4187.70,4495.70
Indonesia,149565.90,179730.70,202576.10,218600.90,221413.50,224941.10,253290.70,278659.00,210210.80,241989.00,263418.90,294907.50,306737.20,316792.10,337635.40,341991.80,345119.70,375544.80,412387.20,453105.50,436981.70,563984.60
Lao People's Democratic Republic,234.70,253.00,278.70,278.70,300.70,377.70,506.00,638.10,718.70,957.10,971.80,902.10,1177.10,1129.40,1422.80,1433.80,1580.50,938.80,979.10,986.40,1272.40,1202.80
Malaysia,56592.80,68591.20,75298.20,91722.70,94010.90,121132.00,125374.70,124821.00,114186.70,107934.50,126603.20,136716.80,135129.00,160266.20,167332.50,177372.80,170647.50,188124.40,208237.90,203951.20,224589.10,225692.80
Myanmar,4275.70,4180.40,4888.10,5342.80,6244.90,6960.00,7257.00,7499.00,8078.40,8969.50,10087.90,8723.80,9207.80,9845.90,12434.80,11613.40,12610.80,12636.50,9028.20,10388.60,8987.80,10439.90
Philippines,41763.50,43930.70,48752.80,49482.50,54799.60,60710.90,62163.00,71158.10,69240.30,69159.60,73307.00,71051.80,71337.80,71532.20,74066.10,74832.50,67692.80,69669.30,75943.60,74784.80,81700.80,82012.50
Singapore,46941.30,47425.30,50267.20,54627.30,65367.90,47109.90,55305.70,69240.30,57293.20,50069.20,49005.80,49541.20,47231.00,31132.80,28474.30,30359.10,30799.10,18195.70,23846.50,23831.80,13479.90,22394.40
Thailand,95833.40,105235.60,115187.80,130735.90,145469.90,167585.60,186965.70,193096.90,171065.60,182811.00,188355.50,202132.40,215975.30,232198.10,252344.60,256169.30,264181.70,265061.80,264753.70,279403.40,298141.80,303370.90
Viet Nam,21407.90,21452.00,21477.60,23006.80,26230.10,29090.30,34667.80,45100.40,47513.30,47693.00,53644.50,61139.90,70806.10,78767.20,90549.20,98143.60,102745.70,113930.00,127464.90,140768.80,153148.60,173210.70
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
